Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash
ERR1797969;2017-01-18 14:23;2017-01-20 22:25;25937368;5187473600;25937368;200;3139;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/797/ERR1797969.sralite.1;ERX1861507;unspecified;RNA-Seq;other;TRANSCRIPTOMIC;PAIRED;300;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1505780;SAMEA50749168;simple;1352;Enterococcus faecium;SAMEA50749168;;;;;;;no;;;;;UMC UTRECHT;ERA789611;;public;AD7F6D9EBD7D67C00EB5FC5890E9CB3B;2CBA963DB5DC8567A98380F36AC53FDA
ERR1797970;2017-01-18 14:23;2017-01-20 22:27;26634380;5326876000;26634380;200;3199;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/797/ERR1797970.sralite.1;ERX1861508;unspecified;RNA-Seq;other;TRANSCRIPTOMIC;PAIRED;300;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1505781;SAMEA50749918;simple;1352;Enterococcus faecium;SAMEA50749918;;;;;;;no;;;;;UMC UTRECHT;ERA789611;;public;39D606F78DAFD97F501E00F1727CAF0F;C0665EDEFD01F6B2B2C57A6209662792
ERR1797971;2017-01-18 14:23;2017-01-20 22:29;27609615;5521923000;27609615;200;3336;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/797/ERR1797971.sralite.1;ERX1861509;unspecified;RNA-Seq;other;TRANSCRIPTOMIC;PAIRED;300;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1505782;SAMEA50750668;simple;1352;Enterococcus faecium;SAMEA50750668;;;;;;;no;;;;;UMC UTRECHT;ERA789611;;public;AF57628E919A80FC1A6CC9EF15766123;7E5A788529645089D62EAA6577E2AC5F
ERR1797972;2017-01-18 14:23;2017-01-20 22:31;27078884;5415776800;27078884;200;3273;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/797/ERR1797972.sralite.1;ERX1861510;unspecified;RNA-Seq;other;TRANSCRIPTOMIC;PAIRED;300;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1505783;SAMEA50751418;simple;1352;Enterococcus faecium;SAMEA50751418;;;;;;;no;;;;;UMC UTRECHT;ERA789611;;public;9DB465C6B27B0D68A316F78B5862FF7A;77C89BA96C126726EDED72A898406A8A
ERR1797973;2017-01-18 14:23;2017-01-20 22:33;23953340;4790668000;23953340;200;2878;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/797/ERR1797973.sralite.1;ERX1861511;unspecified;RNA-Seq;other;TRANSCRIPTOMIC;PAIRED;300;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1505784;SAMEA50752168;simple;1352;Enterococcus faecium;SAMEA50752168;;;;;;;no;;;;;UMC UTRECHT;ERA789611;;public;0D57CE1488F67E20B70E3436B43B4A9D;14412E93473C2EC07F7A712B5632CFC5
ERR1797974;2017-01-18 14:23;2017-01-20 22:35;23240177;4648035400;23240177;200;2825;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/797/ERR1797974.sralite.1;ERX1861512;unspecified;RNA-Seq;other;TRANSCRIPTOMIC;PAIRED;300;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1505785;SAMEA50752918;simple;1352;Enterococcus faecium;SAMEA50752918;;;;;;;no;;;;;UMC UTRECHT;ERA789611;;public;04D2B9CFDB2C8D11A4088B3C66B78389;B75E1CEB5FA74B5BDFA57B55B3BC35B9
ERR1800787;2017-01-19 14:03;2017-01-21 07:40;7007887;357402237;0;51;209;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/800/ERR1800787.sralite.1;ERX1864328;unspecified;Tn-Seq;other;GENOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1507651;SAMEA52152418;simple;1352;Enterococcus faecium;SAMEA52152418;;;;;;;no;;;;;UMC UTRECHT;ERA789778;;public;0D3026B6CF756E30E5F56559104DDEA8;CB8184F15BF506B9B53F3B5A9E9720E2
ERR1800788;2017-01-19 14:03;2017-01-21 07:40;6663325;339829575;0;51;199;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/800/ERR1800788.sralite.1;ERX1864329;unspecified;Tn-Seq;other;GENOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1507652;SAMEA52153168;simple;1352;Enterococcus faecium;SAMEA52153168;;;;;;;no;;;;;UMC UTRECHT;ERA789778;;public;38AB2A2B42C68152C9B2B02267FE5590;3C89E701E358CBCBE6DA8326E4B7A7A4
ERR1800789;2017-01-19 14:03;2017-01-21 07:40;6638188;338547588;0;51;195;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/800/ERR1800789.sralite.1;ERX1864330;unspecified;Tn-Seq;other;GENOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1507653;SAMEA52153918;simple;1352;Enterococcus faecium;SAMEA52153918;;;;;;;no;;;;;UMC UTRECHT;ERA789778;;public;1E5F8AB0848CFF5E284CCBE99A3AA3DC;3CBAB6E9EDD9A56749077E687E04502D
ERR1800790;2017-01-19 14:03;2017-01-21 07:41;17791138;907348038;0;51;546;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/800/ERR1800790.sralite.1;ERX1864331;unspecified;Tn-Seq;other;GENOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;ERP021008;PRJEB19025;;362318;ERS1507654;SAMEA52154668;simple;1352;Enterococcus faecium;SAMEA52154668;;;;;;;no;;;;;UMC UTRECHT;ERA789778;;public;BB769B953A6178F7B8E7E8C703250EC8;FEDA9F4CFDEF5B1C0031B6F24138045C
